[25]
清水寺|Kiyomizu-dera
牛窓|Ushimado
[34]
厳島神社|Itsukushima Shrine
弥山 (広島県)|Mount Misen
原爆ドーム|Hiroshima Peace Memorial
広島平和記念資料館|Hiroshima Peace Memorial Museum
縮景園|Shukkei-en
千光寺 (尾道市)|Senkō-ji
尾道本通り商店街|Onomichi
西瀬戸自動車道|Shimanami Kaido
耕三寺|Kōsan-ji
鞆の浦|Tomonoura
大久野島|Ōkunoshima
大和ミュージアム|Yamato Museum
広島城|Hiroshima Castle
[35]
角島大橋|Tsunoshima Bridge
元乃隅神社|Motonosumi Shrine
秋芳洞|Akiyoshidō
秋吉台|Akiyoshidai
錦帯橋|Kintai Bridge
萩城下町|Hagi, Yamaguchi
瑠璃光寺|Rurikō-ji
唐戸市場|Karato
青海島|Ōmijima
湯田温泉|Yuda Onsen
[36]
鳴門の渦潮|Naruto whirlpools
大塚国際美術館|Ōtsuka Museum of Art
祖谷のかずら橋|Iya Valley
大歩危|Oboke
祖谷渓|Iya Valley
奥祖谷二重かずら橋|Iya Valley
眉山 (徳島市)|Mount Bizan
阿波おどり会館|Awa Odori Kaikan
剣山|Mount Tsurugi
道の駅大歩危|Roadside station Ōboke
[37]
栗林公園|Ritsurin Garden
金刀比羅宮|Kotohira-gū
地中美術館|Chichu Art Museum
豊島美術館|Teshima Art Museum
道の駅小豆島オリーブ公園|Shodoshima Olive Park
エンジェルロード|Angel Road
寒霞渓|Kankakei
父母ヶ浜|Chichibugahama Beach
丸亀城|Marugame Castle
屋島|Yashima
高松城 (讃岐国)|Takamatsu Castle
[38]
道後温泉本館|Dōgo Onsen
松山城 (伊予国)|Matsuyama Castle
下灘駅|Shimonada Station
来島海峡大橋|Kurushima Kaikyō Bridge
亀老山|Mount Kiro
大山祇神社|Ōyamazumi Shrine
内子町|Uchiko
大洲城|Ōzu Castle
宇和島城|Uwajima Castle
石鎚山|Mount Ishizuchi
[39]
高知城|Kōchi Castle
桂浜|Katsurahama
ひろめ市場|Hirome Market
佐田沈下橋|Sada Chinkabashi
安居渓谷|Yasui Valley
柏島|Kashiwajima
足摺岬|Cape Ashizuri
室戸岬|Cape Muroto
四国カルスト|Shikoku Karst
北川村モネの庭マルモッタン|Kitagawa Village Monet's Garden Marmottan
[40]
太宰府天満宮|Dazaifu Tenman-gū
九州国立博物館|Kyushu National Museum
大濠公園|Ōhori Park
福岡城|Fukuoka Castle
福岡タワー|Fukuoka Tower
櫛田神社 (福岡市)|Kushida Shrine
キャナルシティ博多|Canal City Hakata
海の中道海浜公園|Uminonakamichi Seaside Park
のこのしまアイランドパーク|Nokonoshima Island Park
桜井二見ヶ浦|Sakurai Futamigaura
柳川市|Yanagawa, Fukuoka
門司港レトロ|Mojiko Retro
小倉城|Kokura Castle
河内藤園|Kawachi Wisteria Garden
宮地嶽神社|Miyajidake Shrine
南蔵院 (篠栗町)|Nanzō-in
[41]
嬉野温泉|Ureshino Onsen
武雄温泉|Takeo Onsen
武雄市図書館・歴史資料館|Takeo City Library
御船山楽園|Mifuneyama Rakuen
祐徳稲荷神社|Yūtoku Inari Shrine
唐津城|Karatsu Castle
虹の松原|Nijinomatsubara
呼子朝市|Yobuko Morning Market
吉野ヶ里遺跡|Yoshinogari site
有田内山|Arita, Saga
大川内山|Okawachiyama
佐賀城|Saga Castle
[42]
ハウステンボス|Huis Ten Bosch (theme park)
稲佐山|Mount Inasa
グラバー園|Glover Garden
大浦天主堂|Ōura Church
出島|Dejima
眼鏡橋 (長崎市)|Megane Bridge
長崎新地中華街|Nagasaki Shinchi Chinatown
長崎平和公園|Nagasaki Peace Park
端島 (長崎県)|Hashima Island
九十九島 (西海国立公園)|Kujūku Islands
雲仙温泉|Unzen Onsen
島原城|Shimabara Castle
福江島|Fukue Island
平戸城|Hirado Castle
[43]
別府地獄めぐり|Hells of Beppu
鉄輪温泉|Kannawa Onsen
竹瓦温泉|Takegawara Onsen
湯の坪街道|Yunotsubo Kaido
金鱗湖|Kinrin Lake
九重夢大吊橋|Kokonoe Yume Otsurihashi
牧ノ戸峠|Makinoto Pass
くじゅう花公園|Kuju Flower Park
豆田町|Mameda-machi
宇佐神宮|Usa Jingū
耶馬渓|Yabakei
臼杵磨崖仏|Usuki Stone Buddhas
杵築市|Kitsuki
原尻の滝|Harajiri Falls
[44]
熊本城|Kumamoto Castle
水前寺成趣園|Suizen-ji Jōju-en
中岳 (阿蘇山)|Mount Aso
草千里ヶ浜|Kusasenrigahama
大観峰|Daikanbō
黒川温泉|Kurokawa Onsen
鍋ヶ滝|Nabegataki
阿蘇神社|Aso Shrine
白川水源|Shirakawa Suigen
﨑津集落|Sakitsu Village
イルカマリンワールド|Amakusa dolphin watching
八千代座|Yachiyoza
[45]
高千穂峡|Takachiho Gorge
高千穂神社|Takachiho Shrine
天岩戸神社|Amanoiwato-jinja
青島神社|Aoshima Shrine
鵜戸神宮|Udo-jingū
サンメッセ日南|Sun Messe Nichinan
飫肥城|Obi Castle
都井岬|Cape Toi
日向岬|Cape Hyūga
えびの高原|Ebino Plateau
[46]
桜島|Sakurajima
仙巌園|Sengan-en
城山 (鹿児島市)|Shiroyama (Kagoshima)
霧島神宮|Kirishima Jingū
霧島温泉郷|Kirishima Onsen
指宿温泉|Ibusuki Onsen
長崎鼻 (鹿児島県)|Cape Nagasakibana
知覧武家屋敷庭園|Chiran Samurai District
知覧特攻平和会館|Chiran Peace Museum for Kamikaze Pilots
白谷雲水峡|Shiratani Unsuikyō
縄文杉|Jōmon Sugi
マングローブパーク|Amami Ōshima
種子島宇宙センター|Tanegashima Space Center
百合ヶ浜|Yurigahama
[47]
沖縄美ら海水族館|Okinawa Churaumi Aquarium
首里城|Shuri Castle
国際通り|Kokusai Street
波上宮|Naminoue Shrine
美浜タウンリゾート・アメリカンビレッジ|Mihama American Village
万座毛|Cape Manzamo
古宇利大橋|Kouri Bridge
備瀬|Bise, Okinawa
今帰仁城|Nakijin Castle
中城城|Nakagusuku Castle
勝連城|Katsuren Castle
斎場御嶽|Sefa-utaki
玉泉洞|Gyokusendō
瀬長島|Senaga Island
残波岬|Cape Zanpa
真栄田岬|Cape Maeda
大石林山|Daisekirinzan
川平湾|Kabira Bay
竹富島|Taketomi Island
西表島|Iriomote Island
与那覇前浜|Yonaha Maehama Beach
伊良部大橋|Irabu Bridge
座間味島|Zamami Island
ハテの浜|Hatenohama
ジャングリア沖縄|Junglia
平和祈念公園|Okinawa Peace Memorial Park
知念岬|Cape Chinen
